STATE ABBREVIATION,STATE,D,FEC ID#,CANDIDATE NAME (First),CANDIDATE NAME (Last),TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES 
AZ,Arizona,5,n/a,,,Party Votes:,D,20249,
AZ,Arizona,5,n/a,,,District Votes:,,91939,179463
AZ,Arizona,6,H4AZ06045,David ,Schweikert,,R,69902,129578
AZ,Arizona,6,n/a,,,Party Votes:,R,69902,
AZ,Arizona,6,H2AZ05132,W. John,Williamson,,D,25306,70198
AZ,Arizona,6,n/a,,,Party Votes:,D,25306,
AZ,Arizona,6,n/a,,,District Votes:,,95208,199776
AZ,Arizona,7,H4AZ07043 ,Ruben,Gallego,,D,14936,54235
AZ,Arizona,7,H4AZ07068,Mary Rose,Wilcox,,D,11077,
AZ,Arizona,7,H2AZ02220 ,Randy ,Camacho,,D,2330,
AZ,Arizona,7,H4AZ07076,Jarrett,Maupin,,D,2199,
AZ,Arizona,7,n/a,,,Party Votes:,D,30542,
AZ,Arizona,7,H6AZ07022,Joe,Cobb,,LIB,300,10715
AZ,Arizona,7,n/a,,,Party Votes:,LIB,300,
AZ,Arizona,7,H8AZ04116,Rebecca,DeWitt,,W(AE)/AE,4,3858
AZ,Arizona,7,n/a,,,Party Votes:,AE,4,
AZ,Arizona,7,H0AZ04501,José,Peñalosa,,JP,,3496
AZ,Arizona,7,H4AZ07126,Gary,Dunn,,W,,129
AZ,Arizona,7,H4AZ07118,Gustavo,Ortega,,W,,17
AZ,Arizona,7,H4AZ07100,Samuel,Esquivel,,W,,4
AZ,Arizona,7,n/a,,,District Votes:,,30846,72454
AZ,Arizona,8,H4AZ04024,Trent,Franks,,R,53771,128710
AZ,Arizona,8,H4AZ08066,Clair,Van Steenwyk,,R,19629,
AZ,Arizona,8,n/a,,,Party Votes:,R,73400,
AZ,Arizona,8,H2AZ08151,Stephen,Dolgos,,W(AE)/AE,2,41066
AZ,Arizona,8,n/a,,,Party Votes:,AE,2,
AZ,Arizona,8,n/a,,,District Votes:,,73402,169776
AZ,Arizona,9,H2AZ09019 ,Kyrsten,Sinema,,D,31900,88609
AZ,Arizona,9,n/a,,,Party Votes:,D,31900,
AZ,Arizona,9,H2AZ09035 ,Wendy,Rogers,,R,30484,67841
AZ,Arizona,9,H4AZ09023 ,Andrew,Walter,,R,19808,
AZ,Arizona,9,n/a,,,Party Votes:,R,50292,
AZ,Arizona,9,H4AZ02119,Powell,Gammill,,W(LIB)/LIB,52,5612
AZ,Arizona,9,n/a,,,Party Votes:,LIB,52,
AZ,Arizona,9,n/a,,,District Votes:,,82244,162062
AZ,Arizona,H,n/a,,,Total State Votes:,,724755,1467617
,,,n/a,,,,,,
AR,Arkansas,1,H0AR01083,Rick ,Crawford,,R,Unopposed,124139
AR,Arkansas,1,H4AR01051 ,Jackie,McPherson,,D,Unopposed,63555
AR,Arkansas,1,H4AR01069,Brian Scott,Willhite,,LIB,Unopposed,8562
AR,Arkansas,1,n/a,,,District Votes:,,,196256
AR,Arkansas,2,H4AR02141 ,French ,Hill,,R,29916,123073
AR,Arkansas,2,H4AR02158 ,Ann,Clemmer,,R,12400,
AR,Arkansas,2,H4AR02166 ,Conrad,Reynolds,,R,11994,
AR,Arkansas,2,n/a,,,Party Votes:,R,54310,
AR,Arkansas,2,H4AR02133 ,Patrick Henry,Hays,,D,Unopposed,103477
AR,Arkansas,2,H4AR02174 ,Debbie ,Standiford,,LIB,Unopposed,10590
AR,Arkansas,2,H4AR02182 ,Charles,Neely,,W,,190
AR,Arkansas,2,n/a,,,District Votes:,,54310,237330
AR,Arkansas,3,H0AR03055 ,Steve,Womack,,R,Unopposed,151630
AR,Arkansas,3,H4AR03057,Grant ,Brand,,LIB,Unopposed,39305
AR,Arkansas,3,n/a,,,District Votes:,,,190935
AR,Arkansas,4,H4AR04048 ,Bruce,Westerman,,R,18719,110789
AR,Arkansas,4,H4AR04055 ,Tommy ,Moll,,R,15659,
AR,Arkansas,4,n/a,,,Party Votes:,R,34378,
AR,Arkansas,4,H4AR04063 ,James Lee,Witt,,D,Unopposed,87742
AR,Arkansas,4,H4AR04071,Ken,Hamilton,,LIB,Unopposed,7598
AR,Arkansas,4,H4AR04030 ,Janis K.,Percefull,,W,,2
AR,Arkansas,4,n/a,,,District Votes:,,34378,206131
AR,Arkansas,H,n/a,,,Total State Votes:,,88688,830652
AR,Arkansas,,n/a,,,,,,
,,,n/a,,,,,,
CA,California,1,H2CA02142,Doug,La Malfa,,R,75317,132052
CA,California,1,H4CA01066,Heidi,Hall,,D,42481,84320
CA,California,1,H2CA01136,Gregory,Cheadle,,R,13909,
CA,California,1,H4CA01074,Dan,Levine,,D,9213,
CA,California,1,n/a,,,District Votes:,,140920,216372
CA,California,2,H2CA06259,Jared,Huffman,,D,99186,163124
CA,California,2,H4CA02098,Dale K.,Mensing,,R,32614,54400
CA,California,2,H2CA02118,Andy,Caffrey,,D,14245,
CA,California,2,n/a,,,District Votes:,,146045,217524
CA,California,3,H0CA10149,John,Garamendi,,D,54672,79224
CA,California,3,H4CA03096,Dan,Logue,,R,47560,71036
CA,California,3,n/a,,,District Votes:,,102232,150260
CA,California,4,H8CA04152,Tom,McClintock,,R,80999,126784
CA,California,4,H4CA04102,Arthur "Art",Moore,,R,32855,84350
CA,California,4,H4CA04110,Jeffrey D.,Gerlach,,NOP,30300,
CA,California,4,n/a,,,District Votes:,,144154,211134
CA,California,5,H8CA01109,Mike,Thompson,,D,88709,129613
CA,California,5,H4CA05257,James,Hinton,,NOP,12292,41535
CA,California,5,H4CA11099,Douglas S.,Van Raam,,NOP,9279,
CA,California,5,n/a,,,District Votes:,,110280,171148
CA,California,6,H6CA05195,Doris,Matsui,,D,62640,97008
CA,California,6,H2CA06291,'Joseph, Sr.',McCray,,R,22465,36448
CA,California,6,n/a,,,District Votes:,,85105,133456
CA,California,7,H0CA03078,Ami,Bera,,D,51878,92521
CA,California,7,H8CA03105,Doug,Ose,,R,29307,91066
CA,California,7,H4CA07055,Igor,Birman,,R,19431,
CA,California,7,H0CA11352,Elizabeth,Emken,,R,7924,
CA,California,7,H8CA05134,Douglas Arthur,Tuma,,LIB,1629,
CA,California,7,H4CA07063,Phill A.,Tufi,,NOP,869,
CA,California,7,n/a,,,District Votes:,,111038,183587
CA,California,8,H2CA08164,Paul,Cook,,R,40007,77480
CA,California,8,H6CA40234,Bob,Conaway,,D,12885,37056
CA,California,8,H4CA08103,Paul,Hannosh,,R,9037,
CA,California,8,H4CA08129,Odessia D.,Lee,,D,6930,
CA,California,8,n/a,,,District Votes:,,68859,114536
CA,California,9,H4CA11081,Jerry,McNerney,,D,38295,63475
CA,California,9,H0CA11337,Antonio C. "Tony",Amador,,R,20424,57729
CA,California,9,H4CA09069,Steve Anthony,Colangelo,,R,14195,
CA,California,9,H4CA09077,Karen "Mathews",Davis,,R,4637,
CA,California,9,n/a,,,District Votes:,,77551,121204
CA,California,10,H0CA19173,Jeff,Denham,,R,44237,70582
CA,California,10,H4CA10075,Michael,Eggman,,D,19804,55123
CA,California,10,H2CA00096,Michael J. "Mike",Barkley,,D,11005,
CA,California,10,H0CA11360,David Paul,Christensen,,W(NOP),2,
CA,California,10,n/a,,,District Votes:,,75048,125705
CA,California,11,H0CA10073,Mark,Desaulnier,,D,59605,117502
CA,California,11,H4CA11107,Tue,Phan,,R,28242,57160
CA,California,11,H2CA11168,Cheryl,Sudduth,,D,4913,
CA,California,11,H4CA11115,Tony,Daysog,,D,3482,
CA,California,11,H4CA11131,Jason,Ramey,,NOP,2673,
