STATE ABBREVIATION,STATE,D,FEC ID#,CANDIDATE NAME (First),CANDIDATE NAME (Last),TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES 
CA,California,50,H8CA52052,Duncan D.,Hunter,,R,62371,111997
CA,California,50,H2CA50166,James H.,Kimber,,D,21552,45302
CA,California,50,H0CA52018,Michael,Benoit,,LIB,4634,
CA,California,50,n/a,,,District Votes:,,88557,157299
CA,California,51,H2CA50026,Juan,Vargas,,D,35812,56373
CA,California,51,H4CA51079,Stephen,Meade,,R,16403,25577
CA,California,51,H4CA51087,Ernest,Griffes,,W(R),184,
CA,California,51,n/a,,,District Votes:,,52399,81950
CA,California,52,H2CA52089,Scott,Peters,,D,53926,98826
CA,California,52,H4CA52051,Carl,DeMaio,,R,44954,92746
CA,California,52,H4CA52069,Kirk,Jorgensen,,R,23588,
CA,California,52,H4CA52077,'Fred J., Jr.',Simon,,R,5040,
CA,California,52,n/a,,,District Votes:,,127508,191572
CA,California,53,H0CA49055,Susan A.,Davis,,D,50041,87104
CA,California,53,H4CA53059,Larry A.,Wilske,,R,18384,60940
CA,California,53,H4CA53075,Wayne S.,True,,R,9182,
CA,California,53,H4CA53091,John R.,Edwards,,R,3986,
CA,California,53,H4CA53042,Joel,Marchese,,R,2729,
CA,California,53,H4CA53067,Jim,Stieringer,,R,2106,
CA,California,53,H4CA53083,John W.,Campbell,,NOP,1596,
CA,California,53,H4CA53109,Christina,Bobb,,NOP,929,
CA,California,53,n/a,,,District Votes:,,88953,148044
CA,California,H,n/a,,,Total State Votes:,,4151475,7132421
,,,n/a,,,,,,
CO,Colorado,1,H6CO01141,Diana,DeGette,,D,43514,183281
CO,Colorado,1,n/a,,,Party Votes:,D,43514,
CO,Colorado,1,H4CO01112,Martin,Walsh,,R,21519,80682
CO,Colorado,1,H4CO01120,Kathleen,Cunningham,,W(R),1,
CO,Colorado,1,n/a,,,Party Votes:,R,21520,
CO,Colorado,1,H2CO01140,Frank,Atwood,,LIB,,9292
CO,Colorado,1,n/a,,,,,,
CO,Colorado,1,H2CO01124,Danny E.,Stroud,,UN,,5236
CO,Colorado,1,H4CO01146,Daniel,Kirschler,,W,,2
CO,Colorado,1,H4CO01138,Logan,Blackburn,,W,,1
CO,Colorado,1,n/a,,,District Votes:,,65034,278494
CO,Colorado,,n/a,,,,,,
CO,Colorado,2,H8CO02137,Jared,Polis,,D,37759,196300
CO,Colorado,2,n/a,,,Party Votes:,D,37759,
CO,Colorado,2,H4CO02094,George,Leing,,R,43481,149645
CO,Colorado,2,n/a,,,Party Votes:,R,43481,
CO,Colorado,2,n/a,,,District Votes:,,81240,345945
CO,Colorado,,n/a,,,,,,
CO,Colorado,3,H6CO03139,Scott R.,Tipton,,R,46177,163011
CO,Colorado,3,H4CO03266,David,Cox,,R,15773,
CO,Colorado,3,n/a,,,Party Votes:,R,61950,
CO,Colorado,3,H4CO00023,Abel J.,Tapia,,D,29931,100364
CO,Colorado,3,n/a,,,Party Votes:,D,29931,
CO,Colorado,3,H2CO03146,Tisha T.,Casida,,UN,,11294
CO,Colorado,3,H4CO03274,Travis,Mero,,LIB,,6472
CO,Colorado,3,n/a,,,District Votes:,,91881,281141
CO,Colorado,,n/a,,,,,,
CO,Colorado,4,H4CO04090,Ken,Buck,,R,32714,185292
CO,Colorado,4,H4CO04108,Scott W.,Renfroe,,R,17722,
CO,Colorado,4,H4CO04124,Barbara J.,Kirkmeyer,,R,12155,
CO,Colorado,4,H4CO04116,Steve,Laffey,,R,11433,
CO,Colorado,4,n/a,,,Party Votes:,R,74024,
CO,Colorado,4,H4CO04074,Vic,Meyers,,D,20883,83727
CO,Colorado,4,H4CO04132,Dan,Chapin,,W(D),29,
CO,Colorado,4,n/a,,,Party Votes:,D,20912,
CO,Colorado,4,H4CO04140,Jess,Loban,,LIB,,9472
CO,Colorado,4,H4CO04082,Grant,Doherty,,UN,,8016
CO,Colorado,4,n/a,,,District Votes:,,94936,286507
CO,Colorado,,n/a,,,,,,
CO,Colorado,5,H6CO05159,Doug,Lamborn,,R,38741,157182
CO,Colorado,5,H6CO05191,Bentley,Rayburn,,R,34967,
CO,Colorado,5,n/a,,,Party Votes:,R,73708,
CO,Colorado,5,H4CO05055,Irv,Halter,,D,16412,105673
CO,Colorado,5,n/a,,,Party Votes:,D,16412,
CO,Colorado,5,n/a,,,District Votes:,,90120,262855
CO,Colorado,,n/a,,,,,,
CO,Colorado,6,H8CO06138,Mike,Coffman,,R,43737,143467
CO,Colorado,6,n/a,,,Party Votes:,R,43737,
CO,Colorado,6,H4CO06087,Andrew,Romanoff,,D,24267,118847
CO,Colorado,6,n/a,,,Party Votes:,D,24267,
CO,Colorado,6,H2CO02122,Norm,Olsen,,LIB,,8623
CO,Colorado,6,H8CO01089,Gary,Swing,,GRE,,5503
CO,Colorado,6,n/a,,,District Votes:,,68004,276440
CO,Colorado,,n/a,,,,,,
CO,Colorado,7,H6CO07023,Ed,Perlmutter,,D,30659,148225
CO,Colorado,7,n/a,,,Party Votes:,D,30659,
CO,Colorado,7,H4CO07036,Don,Ytterberg,,R,34817,120918
CO,Colorado,7,n/a,,,Party Votes:,R,34817,
CO,Colorado,7,H2CO07147,Douglas "Dayhorse",Campbell,,AMC,127,
CO,Colorado,7,n/a,,,Party Votes:,AMC,127,
CO,Colorado,7,n/a,,,District Votes:,,65603,269143
CO,Colorado,H,n/a,,,Total State Votes:,,556818,2000525
CO,Colorado,,n/a,,,,,,
,,,n/a,,,,,,
CT,Connecticut,1,H8CT01046,John B.,Larson,,D,*,127430
CT,Connecticut,1,H8CT01046,John B.,Larson,,WF,,8395
CT,Connecticut,1,H2CT01189,Matthew M.,Corey,,R,*,78609
CT,Connecticut,1,H4CT01060,Jeffery,Russell,,GRE,,3447
CT,Connecticut,1,n/a,,,District Votes:,,,217881
CT,Connecticut,,n/a,,,,,,
CT,Connecticut,2,H2CT02112,Joe,Courtney,,D,*,131294
CT,Connecticut,2,H2CT02112,Joe,Courtney,,WF,,10654
CT,Connecticut,2,H4CT02068,Lori,Hopkins-Cavanagh,,R,*,80837
CT,Connecticut,2,H4CT02084,William C.,Clyde,,GRE,,2549
CT,Connecticut,2,H8CT02085,Daniel ,Reale,,LIB,,2602
CT,Connecticut,2,n/a,,,District Votes:,,,227936
CT,Connecticut,3,H0CT03072,Rosa L.,DeLauro,,D,*,130009
CT,Connecticut,3,H0CT03072,Rosa L.,DeLauro,,WF,,10476
CT,Connecticut,3,H4CT03082,James E.,Brown,,R,*,69454
CT,Connecticut,3,n/a,,,District Votes:,,,209939
CT,Connecticut,4,H8CT04172,Jim,Himes,,D,*,101401
CT,Connecticut,4,H8CT04172,Jim,Himes,,WF,,5472
CT,Connecticut,4,H0CT04146,Dan,Debicella,,R,*,88209
CT,Connecticut,4,H0CT04146,Dan,Debicella,,IP,,3713
CT,Connecticut,4,H8CT04172,Stephen A.,Miller,,W,,3
CT,Connecticut,4,H8CT04172,Sophie E.,Pastore,,W,,2
CT,Connecticut,4,n/a,,,District Votes:,,,198800
CT,Connecticut,5,H2CT05131,Elizabeth,Esty,,D,*,106256
CT,Connecticut,5,H2CT05131,Elizabeth,Esty,,WF,,7308
CT,Connecticut,5,H0CT05127,John J.,Pistone,,PC,,1970
CT,Connecticut,5,H0CT05150,Mark,Greenberg,,R,*,92404
CT,Connecticut,5,H0CT05150,Mark,Greenberg,,IP,,5363
CT,Connecticut,5,n/a,,,District Votes:,,,213301
CT,Connecticut,H,n/a,,,Total State Votes:,,,1067857
,,,n/a,,,,,,
DE,Delaware,0,H0DE01017,'John C., Jr.',Carney,,D,Unopposed,137251
DE,Delaware,0,H0DE01025,Rose,Izzo,,R,Unopposed,85146
DE,Delaware,0,H2DE00155,Bernard,August,,GRE,,4801
DE,Delaware,0,H2DE00148,Scott,Gesty,,LIB,*,4419
DE,Delaware,0,n/a,,,District Votes:,,,231617
DE,Delaware,H,n/a,,,Total State Votes:,,,231617
DE,Delaware,,n/a,,,,,,
,,,,,,,,,
DC,District of Columbia,0,H0DC00058 ,Eleanor H.,Norton,,D,87247,143923
DC,District of Columbia,0,n/a,,Scattered,,W(D),2652,
DC,District of Columbia,0,n/a,,,Party Votes:,D,89899,
DC,District of Columbia,0,H4DC00092,Nelson F.,Rimensnyder,,R,1131,11673
DC,District of Columbia,0,n/a,,Scattered,,W(R),128,
DC,District of Columbia,0,n/a,,,Party Votes:,R,1259,
DC,District of Columbia,0,H4DC00076,Timothy J.,Krepp,,IND,,9101
DC,District of Columbia,0,n/a,,,,,,
DC,District of Columbia,0,H8DC00143,Natale Lino,Stracuzzi,,DCG,323,6073
DC,District of Columbia,0,n/a,,Scattered,,W(DCG),83,
DC,District of Columbia,0,n/a,,,Party Votes:,DCG,406,
DC,District of Columbia,0,n/a,,Scattered,,W,,1123
DC,District of Columbia,0,H4DC00068 ,Sara Jane ,Panfil,,LIB,30,#
DC,District of Columbia,0,n/a,,Scattered,,W(LIB),1,
DC,District of Columbia,0,n/a,,,Party Votes:,LIB,31,
DC,District of Columbia,0,n/a,,,District Votes:,,91595,171893
DC,District of Columbia,H,n/a,,,Total State Votes:,,91595,171893
,,,,,,,,,
FL,Florida,1,H2FL01100 ,Jeff,Miller,,R,44784,165086
FL,Florida,1,H0FL00023 ,John E.,Krause,,R,14660,
FL,Florida,1,n/a,,,Party Votes:,R,59444,
FL,Florida,1,H8FL01099 ,Jim,Bryan,,D,Unopposed,54976
FL,Florida,1,H4FL01155 ,Mark,Wichern,,NPA,,15281
FL,Florida,1,n/a,,,District Votes:,,59444,235343
FL,Florida,2,H4FL02062,Gwen,Graham,,D,Unopposed,126096
FL,Florida,2,H0FL02110 ,Steve,Southerland,,R,Unopposed,123262
FL,Florida,2,H4FL02070 ,Luther ,Lee,,W,,422
FL,Florida,2,n/a,,,District Votes:,,,249780
FL,Florida,3,H2FL06109 ,Ted,Yoho,,R,37486,148691
FL,Florida,3,H4FL03094,Jake ,Rush,,R,9739,
FL,Florida,3,n/a,,,Party Votes:,R,47225,
FL,Florida,3,H4FL03110 ,Marihelen,Wheeler,,D,Unopposed,73910
FL,Florida,3,H4FL03102 ,Howard Term Limits,Lawson,,NPA,,6208
FL,Florida,3,n/a,,,District Votes:,,47225,228809
FL,Florida,,n/a,,,,,,
FL,Florida,4,H0FL04066 ,Ander,Crenshaw,,R,38613,177887
FL,Florida,4,H4FL04035 ,Ryman,Shoaf,,R,15817,
FL,Florida,4,n/a,,,Party Votes:,R,54430,
FL,Florida,4,H4FL04043 ,Paula ,Moser-Bartlett,,NPA,,35663
FL,Florida,4,H0FL04116 ,Gary L.,Koniz,,NPA,,13690
FL,Florida,4,H0FL04033,Deborah Katz,Pueschel,,W,,13
FL,Florida,4,n/a,,,District Votes:,,54430,227253
FL,Florida,,n/a,,,,,,
FL,Florida,5,H2FL03056,Corrine ,Brown,,D,Unopposed,112340
FL,Florida,5,H4FL05065,Glo,Smith,,R,10968,59237
FL,Florida,5,H4FL05073 ,Thuy (Twee),Lowe,,R,6451,
FL,Florida,5,n/a,,,Party Votes:,R,17419,
FL,Florida,5,n/a,,,District Votes:,,17419,171577
FL,Florida,,n/a,,,,,,
FL,Florida,6,H2FL00292 ,Ron,DeSantis,,R,Unopposed,166254
FL,Florida,6,H4FL06022,David,Cox,,D,Unopposed,99563
FL,Florida,6,n/a,,,District Votes:,,,265817
FL,Florida,7,H2FL08055 ,John  ,Mica,,R,32084,144474
FL,Florida,7,H4FL07061,David ,Smith,,R,8316,
FL,Florida,7,H4FL07103 ,Don,Oehlrich,,R,2285,
FL,Florida,7,H4FL07111 ,Kelly ,Shirley,,R,1786,
FL,Florida,7,n/a,,,Party Votes:,R,44471,
FL,Florida,7,H4FL07087 ,Wes,Neuman,,D,Unopposed,73011
FL,Florida,7,H6FL08130,Al,Krulick,,NPA,,9679
FL,Florida,7,n/a,,,District Votes:,,44471,227164
FL,Florida,8,H8FL15107 ,Bill,Posey,,R,Unopposed,180728
FL,Florida,8,H4FL08085 ,Gabriel,Rothblatt,,D,Unopposed,93724
FL,Florida,8,H4FL08093,'Christopher L., Jr',Duncan,,W,,61
FL,Florida,8,n/a,,,District Votes:,,,274513
FL,Florida,9,H6FL08213,Alan,Grayson,,D,18641,93850
FL,Florida,9,H0FL24171,Nick,Ruiz,,D,6441,
FL,Florida,9,n/a,,,Party Votes:,D,25082,
FL,Florida,9,H4FL09083 ,Carol ,Platt,,R,11542,74963
FL,Florida,9,H4FL09109 ,Jorge ,Bonilla,,R,6293,
FL,Florida,9,H4FL09117 ,Peter,Vivaldi,,R,3301,
FL,Florida,9,n/a,,,Party Votes:,R,21136,
FL,Florida,9,H4FL09133,Marko,Milakovich,,NPA,,5060
FL,Florida,9,H4FL09141 ,Leon Leo,Ray,,W,,5
FL,Florida,9,n/a,,,District Votes:,,46218,173878
FL,Florida,10,H0FL08208 ,Daniel ,Webster,,R,Unopposed,143128
FL,Florida,10,H4FL09091,Michael,McKenna,,D,11912,89426
FL,Florida,10,H4FL10099 ,Shayan,Modarres,,D,7324,
FL,Florida,10,H4FL10107,William,Ferree,,D,4718,
FL,Florida,10,n/a,,,Party Votes:,D,23954,
FL,Florida,10,H4FL10115,David B.,Falstad,,W,,20
FL,Florida,10,n/a,,,District Votes:,,23954,232574
FL,Florida,11,H0FL05139 ,Richard B. "Rich",Nugent,,R,Unopposed,181508
FL,Florida,11,H4FL11071,Dave ,Koller,,D,Unopposed,90786
FL,Florida,11,n/a,,,District Votes:,,,272294
FL,Florida,12,H6FL09070 ,Gus Michael,Bilirakis,,R,Unopposed,Unopposed
FL,Florida,12,n/a,,,District Votes:,,,
FL,Florida,13,H4FL13101,David W.,Jolly,,R,Unopposed,168172
FL,Florida,13,H4FL13077,Lucas,Overby,,LBF,Unopposed,55318
FL,Florida,13,H4FL13150 ,Michael Stephen,Levinson,,W,,86
FL,Florida,13,n/a,,,District Votes:,,,223576
FL,Florida,14,H6FL11126 ,Kathy ,Castor,,D,Unopposed,Unopposed
FL,Florida,14,n/a,,,District Votes:,,,
FL,Florida,15,H0FL12101,Dennis A.,Ross,,R,Unopposed,128750
FL,Florida,15,H4FL15155 ,Alan M.,Cohn,,D,Unopposed,84832
FL,Florida,15,n/a,,,District Votes:,,,213582
FL,Florida,16,H6FL13148 ,Vern,Buchanan,,R,Unopposed,169126
FL,Florida,16,H4FL16146 ,Henry ,Lawrence,,D,Unopposed,105483
FL,Florida,16,H4FL16153,Joe,Newman,,W,,220
FL,Florida,16,n/a,,,District Votes:,,,274829
FL,Florida,17,H8FL16022,Tom,Rooney,,R,Unopposed,141493
FL,Florida,17,H2FL00300 ,Will,Bronson,,D,Unopposed,82263
FL,Florida,17,n/a,,,District Votes:,,,223756
FL,Florida,18,H2FL22072,Patrick ,Murphy,,D,Unopposed,151478
FL,Florida,18,H4FL18068 ,Carl J.,Domino,,R,15805,101896
FL,Florida,18,H4FL18043 ,Alan ,Schlesinger,,R,9920,
FL,Florida,18,H4FL18084 ,Beverly ,Hires,,R,5760,
FL,Florida,18,H4FL18100,Brian ,Lara,,R,5361,
FL,Florida,18,H4FL18076 ,Calvin D.,Turnquest,,R,2757,
FL,Florida,18,H4FL18092 ,Nick,Wukoson,,R,1594,
FL,Florida,18,n/a,,,Party Votes:,R,41197,
FL,Florida,18,n/a,,,District Votes:,,41197,253374
FL,Florida,19,H4FL19074 ,Curt ,Clawson,,R,Unopposed,159354
FL,Florida,19,H4FL19058,April,Freeman,,D,Unopposed,80824
FL,Florida,19,H0FL02136,Ray ,Netherwood,,LBF,Unopposed,6671
FL,Florida,19,H4FL19082,Timothy J.,Rossano,,W,,12
FL,Florida,19,n/a,,,District Votes:,,,246861
FL,Florida,20,H2FL23021,Alcee L.,Hasting,,D,29236,128498
FL,Florida,20,H4FL20056,Jean L.,Enright,,D,5256,
FL,Florida,20,H4FL20072,Jameel,McCline,,D,2424,
FL,Florida,20,n/a,,,Party Votes:,D,36916,
FL,Florida,20,H4FL20064,Jay,Bonner,,R,Unopposed,28968
FL,Florida,20,n/a,,,District Votes:,,36916,157466
FL,Florida,,n/a,,,,,,
FL,Florida,21,H0FL19080,Ted,Deutch,,D,31080,153395
FL,Florida,21,H4FL21054  ,Emmanuel G.,Morel,,D,2845,
FL,Florida,21,n/a,,,Party Votes:,D,33925,
FL,Florida,21,H2FL21066,W. Michael,Trout,,W,,575
FL,Florida,21,n/a,,,District Votes:,,33925,153970
FL,Florida,,n/a,,,,,,
FL,Florida,22,H2FL14053,Lois,Frankel,,D,Unopposed,125404
FL,Florida,22,H4FL22110 ,Paul,Spain,,R,7492,90685
FL,Florida,22,H4FL22086,Andrea Leigh,McGee,,R,6073,
FL,Florida,22,H2FL22114 ,David,Wagie,,R,4017,
FL,Florida,22,n/a,,,Party Votes:,R,17582,
FL,Florida,22,H4FL22102 ,Raymond,Schamis,,W,,7
FL,Florida,22,n/a,,,District Votes:,,17582,216096
FL,Florida,,n/a,,,,,,
FL,Florida,23,H4FL20023,Debbie Wasserman,Schultz,,D,Unopposed,103269
FL,Florida,23,H2FL20043 ,Joseph "Joe",Kaufman,,R,6299,61519
FL,Florida,23,H4FL23076 ,Juan ,Garcia,,R,3764,
FL,Florida,23,n/a,,,Party Votes:,R,10063,
FL,Florida,23,n/a,,,District Votes:,,10063,164788
FL,Florida,,n/a,,,,,,
FL,Florida,24,H0FL17068 ,Frederica S.,Wilson,,D,35456,129192
FL,Florida,24,H4FL24017,Michael A.,Etienne,,D,8628,
FL,Florida,24,n/a,,,Party Votes:,D,44084,
FL,Florida,24,H6FL17032 ,Dufirstson Julio ,Neree,,R,Unopposed,15239
FL,Florida,24,H4FL24025,Luis E.,Fernandez,,NPA,,5487
FL,Florida,24,n/a,,,District Votes:,,44084,149918
FL,Florida,,n/a,,,,,,
FL,Florida,25,H2FL25018,Mario,Diaz-Balart,,R,Unopposed,Unopposed
FL,Florida,25,n/a,,,District Votes:,,n/a,n/a
FL,Florida,,n/a,,,,,,
FL,Florida,26,H4FL26038 ,Carlos ,Curbelo,,R,13861,83031
FL,Florida,26,H4FL26012 ,Ed,MacDougall,,R,7455,
FL,Florida,26,H4FL26061 ,Joe A.,Martinez,,R,5136,
FL,Florida,26,H0FL25038 ,David,Rivera,,R,2209,
FL,Florida,26,H4FL26046 ,Lorenzo Palomares,Starbuck,,R,824,
FL,Florida,26,n/a,,,Party Votes:,R,29485,
FL,Florida,26,H8FL25015,Joe,Garcia,,D,Unopposed,78306
FL,Florida,26,n/a,,,District Votes:,,29485,161337
FL,Florida,27,H0FL18025,Ileana ,Ros-Lehtinen,,R,Unopposed,Unopposed
FL,Florida,27,n/a,,,District Votes:,,n/a,n/a
FL,Florida,H,n/a,,,Total State Votes:,,506413,4998555
,,,n/a,,,,,,
GA,Georgia,1,H4GA01039,E. L. "Buddy",Carter,,R,18971,95337
GA,Georgia,1,H4GA01054,Robert E. "Bob",Johnson,,R,11890,
GA,Georgia,1,H4GA01096,John A.,McCallum,,R,10715,
GA,Georgia,1,H4GA01070,J. L. "Jeff",Chapman,,R,6918,
GA,Georgia,1,H4GA01088,Darwin,Carter,,R,2819,
GA,Georgia,1,H4GA01138,Earl T.,Martin,,R,1063,
GA,Georgia,1,n/a,,,Party Votes:,R,52376,
GA,Georgia,1,H4GA01120,Brian Corwin,Reese,,D,6122,61175
GA,Georgia,1,H4GA01112,Amy L.,Tavio,,D,6148,
GA,Georgia,1,H4GA01104,Marc Anthony,Smith,,D,5836,
GA,Georgia,1,n/a,,,Party Votes:,D,18106,
GA,Georgia,1,n/a,,,District Votes:,,70482,156512
GA,Georgia,,n/a,,,,,,
GA,Georgia,2,H2GA02031,Sanford D.,Bishop,,D,39941,96363
GA,Georgia,2,n/a,,,Party Votes:,D,39941,
GA,Georgia,2,H4GA02060,Gregory P. "Greg",Duke,,R,16468,66537
GA,Georgia,2,H4GA02078,Vivian L.,Childs,,R,7252,
GA,Georgia,2,n/a,,,Party Votes:,R,23720,
GA,Georgia,2,n/a,,,District Votes:,,63661,162900
GA,Georgia,,n/a,,,,,,
GA,Georgia,3,H4GA08067,Lynn Acton,Westmoreland,,R,37106,156277
GA,Georgia,3,H0GA13099,C. E. "Chip",Flanagan,,R,16294,
GA,Georgia,3,n/a,,,Party Votes:,R,53400,
GA,Georgia,3,n/a,,,District Votes:,,53400,156277
GA,Georgia,,n/a,,,,,,
GA,Georgia,4,H6GA04129,'Henry C. "Hank," Jr.',Johnson,,D,26514,161211
GA,Georgia,4,H4GA04116,Thomas E. "Tom",Brown,,D,21909,
GA,Georgia,4,n/a,,,Party Votes:,D,48423,
GA,Georgia,4,H4GA04058,Raymond L.,Davis,,W,,109
GA,Georgia,4,n/a,,,District Votes:,,48423,161320
GA,Georgia,,n/a,,,,,,
GA,Georgia,5,H6GA05217,John R.,Lewis,,D,48001,170326
GA,Georgia,5,n/a,,,Party Votes:,D,48001,
GA,Georgia,5,n/a,,,District Votes:,,48001,170326
GA,Georgia,,n/a,,,,,,
GA,Georgia,6,H4GA06087,Thomas E. "Tom",Price,,R,44074,139018
GA,Georgia,6,n/a,,,Party Votes:,R,44074,
GA,Georgia,6,H2GA06107,Robert G.,Montigel,,D,11493,71486
GA,Georgia,6,n/a,,,Party Votes:,D,11493,
GA,Georgia,6,n/a,,,District Votes:,,55567,210504
GA,Georgia,,n/a,,,,,,
GA,Georgia,7,H0GA07133,William Robert "Rob",Woodall,,R,33804,113557
GA,Georgia,7,n/a,,,Party Votes:,R,33804,
GA,Georgia,7,H4GA04124,Thomas Dee,Wight,,D,7141,60112
GA,Georgia,7,n/a,,,Party Votes:,D,7141,
GA,Georgia,7,n/a,,,District Votes:,,40945,173669
GA,Georgia,,n/a,,,,,,
GA,Georgia,8,H0GA08099,James Austin,Scott,,R,36073,129938
GA,Georgia,8,n/a,,,Party Votes:,R,36073,
GA,Georgia,8,H8GA08035,Ronald L.,Cain,,W,,119
GA,Georgia,8,n/a,,,District Votes:,,36073,130057
GA,Georgia,,n/a,,,,,,
GA,Georgia,9,H2GA09150,Douglas Allen "Doug",Collins,,R,49951,146059
GA,Georgia,9,H4GA09065,Bernard A. "Bernie",Fontaine,,R,12315,
GA,Georgia,9,n/a,,,Party Votes:,R,62266,
GA,Georgia,9,H4GA09057,David Donald,Vogel,,D,6415,34988
GA,Georgia,9,n/a,,,Party Votes:,D,6415,
GA,Georgia,9,n/a,,,District Votes:,,68681,181047
GA,Georgia,,n/a,,,,,,
GA,Georgia,10,H0GA07125,Jody B.,Hice,,R,17408,130703
GA,Georgia,10,H4GA10071,M. A. "Mike",Collins,,R,17143,
GA,Georgia,10,H4GA10055,Donna H.,Sheldon,,R,7972,
GA,Georgia,10,H4GA10063,Gary,Gerrard,,R,3830,
GA,Georgia,10,H2GA10117,Stephen K.,Simpson,,R,2423,
GA,Georgia,10,H4GA10105,S. Mitchell,Swan,,R,2167,
GA,Georgia,10,H4GA10097,Brian Richard,Slowinski,,R,1027,
GA,Georgia,10,n/a,,,Party Votes:,R,51970,
GA,Georgia,10,H4GA10089,Ivory Kenneth "Ken",Dious,,D,15965,65777
GA,Georgia,10,n/a,,,Party Votes:,D,15965,
GA,Georgia,10,n/a,,,District Votes:,,67935,196480
GA,Georgia,,n/a,,,,,,
GA,Georgia,11,H4GA11061,Barry D.,Loudermilk,,R,20862,161532
GA,Georgia,11,H4GA11053,R. L. "Bob",Barr,,R,14704,
GA,Georgia,11,H4GA11087,Tricia R.,Pridemore,,R,9745,
GA,Georgia,11,H4GA11079,Edward H. "Ed",Lindsey,,R,8448,
GA,Georgia,11,H4GA11095,Larry,Mrozinski,,R,2288,
GA,Georgia,11,H2GA11180,S. Allan,Levene,,R,962,
GA,Georgia,11,n/a,,,Party Votes:,R,57009,
GA,Georgia,11,n/a,,,District Votes:,,57009,161532
GA,Georgia,,n/a,,,,,,
GA,Georgia,12,H2GA12121,Richard "Rick",Allen,,R,25093,91336
GA,Georgia,12,H4GA12051,Eugene C.,Yu,,R,7677,
GA,Georgia,12,H4GA12044,Delvis William,Dutton,,R,6644,
GA,Georgia,12,H8GA12011,John E.,Stone,,R,5826,
GA,Georgia,12,H0GA08081,Diane Swanson,Vann,,R,1237,
GA,Georgia,12,n/a,,,Party Votes:,R,46477,
GA,Georgia,12,H4GA12010,John Jenkins,Barrow,,D,26324,75478
GA,Georgia,12,n/a,,,Party Votes:,D,26324,
GA,Georgia,12,n/a,,,District Votes:,,72801,166814
GA,Georgia,,n/a,,,,,,
GA,Georgia,13,H2GA13012,David Albert,Scott,,D,29486,159445
GA,Georgia,13,H4GA13034,Michael C.,Owens,,D,6367,
GA,Georgia,13,n/a,,,Party Votes:,D,35853,
GA,Georgia,13,n/a,,,District Votes:,,35853,159445
GA,Georgia,,n/a,,,,,,
GA,Georgia,14,H0GA09030,John Thomas "Tom",Graves,,R,32343,118782
GA,Georgia,14,H4GA14016,'Kenneth L., Sr.',Herron,,R,11324,
GA,Georgia,14,n/a,,,Party Votes:,R,43667,
GA,Georgia,14,n/a,,,District Votes:,,43667,118782
GA,Georgia,,n/a,,,,,,
GA,Georgia,H,n/a,,,Total State Votes:,,762498,2305665
GA,Georgia,,n/a,,,,,,
,,,n/a,,,,,,
HI,Hawaii,1,H4HI01134,Mark,Takai,,D,52736,93390
HI,Hawaii,1,H4HI01167,Donna Mercado,Kim,,D,33678,
HI,Hawaii,1,H4HI01100,Stanley,Chang,,D,12135,
HI,Hawaii,1,H4HI01118,Ikaika,Anderson,,D,7937,
HI,Hawaii,1,H4HI01126,Will,Espero,,D,4555,
HI,Hawaii,1,H4HI01175,Joey,Manahan,,D,4495,
HI,Hawaii,1,H4HI01142,Kathryn,Xian,,D,3039,
HI,Hawaii,1,n/a,,,Party Votes:,D,118575,
HI,Hawaii,1,H0HI01157,Charles,Djou,,R,20802,86454
HI,Hawaii,1,H4HI01191,Allan,Levene,,R,777,
HI,Hawaii,1,n/a,,,Party Votes:,R,21579,
HI,Hawaii,1,H4HI01209,Robert H.,Meyer,,N,99,
HI,Hawaii,1,H4HI01183,Calvin (G),Griffin,,N,94,
HI,Hawaii,1,n/a,,,Party Votes:,N,193,
HI,Hawaii,1,n/a,,,District Votes:,,140347,179844
HI,Hawaii,2,H2HI02508,Tulsi,Gabbard,,D,92032,142010
HI,Hawaii,2,n/a,,,Party Votes:,D,92032,
HI,Hawaii,2,H2HI02524,Kawika,Crowley,,R,9094,33630
HI,Hawaii,2,H4HI02108,Marissa D.,Capelouto,,R,6926,
HI,Hawaii,2,n/a,,,Party Votes:,R,16020,
HI,Hawaii,2,H4HI02116,Joe,Kent,,LIB,373,4693
HI,Hawaii,2,n/a,,,Party Votes:,LIB,373,
HI,Hawaii,2,n/a,,,District Votes:,,108425,180333
HI,Hawaii,H,n/a,,,Total State Votes:,,248772,360177
HI,Hawaii,,n/a,,,,,,
HI,Hawaii,,n/a,,,,,,
,,,n/a,,,,,,
ID,Idaho,1,H0ID01253 ,Raul R.,Labrador,,R,56206,143580
ID,Idaho,1,H4ID01123,Lisa,Marie,,R,5164,
ID,Idaho,1,H4ID01115,Michael ,Greenway,,R,3494,
ID,Idaho,1,H2ID01143,Reed C.,McCandless,,R/W,3373,7
ID,Idaho,1,H4ID01107,Sean ,Blackwell,,R,3304,
ID,Idaho,1,n/a,,,Party Votes:,R,71541,
ID,Idaho,1,H4ID01081 ,Shirley G.,Ringo,,D,9047,77277
ID,Idaho,1,H4ID01099,Ryan Andrew,Barone,,D,1981,
ID,Idaho,1,n/a,,,Party Votes:,D,11028,
ID,Idaho,1,n/a,,,District Votes:,,82569,220864
ID,Idaho,2,H8ID02064 ,Mike,Simpson,,R,48632,131492
ID,Idaho,2,H4ID02063 ,Bryan D.,Smith,,R,30263,
